publication_number,application_number,country_code,kind_code,application_kind,application_number_formatted,pct_number,family_id,spif_publication_number,spif_application_number,title_localized.text,title_localized.language,title_localized.truncated,abstract_localized.text,abstract_localized.language,abstract_localized.truncated,claims_localized.text,claims_localized.language,claims_localized.truncated,claims_localized_html.text,claims_localized_html.language,claims_localized_html.truncated,description_localized.text,description_localized.language,description_localized.truncated,description_localized_html.text,description_localized_html.language,description_localized_html.truncated,publication_date,filing_date,grant_date,priority_date,priority_claim.publication_number,priority_claim.application_number,priority_claim.npl_text,priority_claim.type,priority_claim.category,priority_claim.filing_date,inventor,inventor_harmonized.name,inventor_harmonized.country_code,assignee,assignee_harmonized.name,assignee_harmonized.country_code,examiner.name,examiner.department,examiner.level,uspc.code,uspc.inventive,uspc.first,uspc.tree,ipc.code,ipc.inventive,ipc.first,ipc.tree,cpc.code,cpc.inventive,cpc.first,cpc.tree,fi.code,fi.inventive,fi.first,fi.tree,fterm.code,fterm.inventive,fterm.first,fterm.tree,locarno.code,locarno.inventive,locarno.first,locarno.tree,citation.publication_number,citation.application_number,citation.npl_text,citation.type,citation.category,citation.filing_date,parent.publication_number,parent.application_number,parent.npl_text,parent.type,parent.category,parent.filing_date,child.publication_number,child.application_number,child.npl_text,child.type,child.category,child.filing_date,entity_status,art_unit
,,,,,,,,,,一种环保循环水冷却系统,zh,FALSE,本实用新型公开了一种环保循环水冷却系统，涉及天然产物提取及其相关设备技术领域。本实用新型包括过滤箱，过滤箱的顶部从前至后均匀间隔设置有限位筒，限位筒的内部设置有安装组件，安装组件包括移动架和滤网，移动架的内部安装有滤网，过滤箱的正后方设置有交替循环组件，交替循环组件包括水箱A和水箱B，水箱A和水箱B之间相对设置。本实用新型通过利用交替循环组件和安装组件，使用水箱A和水箱B内的冷却水可以循环交替使用，可以不间断对需要冷却的设备冷却处理，工作效率高，通过多个滤网对循环回来的水过滤，且通过在移动架和滑轨的作用下便于安装拆卸更换滤网，便于工作人员使用安装和拆卸，工作效率高。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,YAO ZHENYU,YAO ZHENYU,,,,,,,,,,,,B01D29/96,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WANG SONGFENG,WANG SONGFENG,,,,,,,,,,,,B01D29/01,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZHAO DAN,ZHAO DAN,,,,,,,,,,,,B01D29/58,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yang Zhuoyu,Yang Zhuoyu,,,,,,,,,,,,F25D29/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DU JUN,DU JUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XU SHU,XU SHU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218179646-U,CN-202222360385-U,CN,U,U,CN 202222360385,,84622966,CN218179646U,CN202222360385,Cooling device of sintering furnace,en,FALSE,"The application discloses cooling device of fritting furnace, the technical field who relates to the industrial furnace, the not good problem of work piece cooling effect has been improved, it includes the shell, be provided with the inner shell in the shell, the passageway that supplies the work piece to pass through is seted up to the inner shell, first opening has been seted up to the top of shell, leave the interval between the inside wall of inner shell lateral wall and shell, leave the interval between the diapire in the outer diapire of inner shell and the shell, the one end that ground was kept away from to the shell lateral wall has been seted up the delivery port, the water inlet has been seted up to the shell diapire, the heliciform guide slot has been seted up to the inner shell periphery side. This application can make the cooling effect of work piece better.",en,FALSE,,,,,,,,,,,,,20221230,20220906,20221230,20220906,,CN-202222360385-U,,,,20220906,WANG PINGHUA,WANG PINGHUA,,厦门市力立粉末冶金有限公司,XIAMEN LILI POWDER METALLURGY CO LTD,,,,,,,,,F27D1/12,TRUE,TRUE,,Y02P10/25,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种烧结炉的冷却装置,zh,FALSE,本申请公开了一种烧结炉的冷却装置，涉及工业炉的技术领域，改善了工件冷却效果不佳的问题，其包括外壳，外壳内设置有内壳，内壳开设有供工件通过的通道，外壳的上方开设有第一开口，内壳外侧壁与外壳的内侧壁之间留有间距，内壳外底壁与外壳内底壁之间留有间距，外壳侧壁远离地面的一端开设有出水口，外壳底壁开设有进水口，内壳外周侧开设有螺旋状导槽。本申请能够使工件的冷却效果较好。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218180026-U,CN-202222654285-U,CN,U,U,CN 202222654285,,84607433,CN218180026U,CN202222654285,Electromagnetic flowmeter with protective structure,en,FALSE,"The utility model discloses an electromagnetic flowmeter with protective structure, belong to the electromagnetic flowmeter field, including the flowmeter main part, install the erection column in the flowmeter main part, rotate on the erection column and install limit structure, limit structure contains the base ring, the spliced pole, spring and clamp plate, the spliced pole has two and symmetrical installation on the outer wall of base ring, the spring has two and establishes respectively on two spliced poles, the clamp plate has two and installs the one end at two spliced poles respectively, the last connection location structure that installs of limit structure, connection location structure contains base plate and picture peg, the picture peg is installed in the base plate, rotate on the picture peg and install the ball, install guard flap in the front side of flowmeter main part on the base plate, through setting up guard flap, when need not watching the display screen, can use guard flap to shelter from the display screen, and then can protect the display screen, finally reduce the probability that the display screen damaged.",en,FALSE,,,,,,,,,,,,,20221230,20221010,20221230,20221010,,CN-202222654285-U,,,,20221010,LIU JUN,LIU JUN,,深圳天启远达科技有限公司,SHENZHEN TIANQI YUANDA TECH CO LTD,,,,,,,,,G01F15/18,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种具有防护结构的电磁流量计,zh,FALSE,本实用新型公开了一种具有防护结构的电磁流量计，属于电磁流量计领域，包括流量计主体，流量计主体上安装有安装柱，安装柱上转动安装有限位结构，限位结构包含基环、连接柱、弹簧以及压板，连接柱有两个且对称安装在基环的外壁上，弹簧有两个且分别套设在两个连接柱上，压板有两个且分别安装在两个连接柱的一端，限位结构上安装有连接定位结构，连接定位结构包含基板和插板，插板安装在基板内，插板上转动安装有滚珠，基板上在流量计主体的前侧安装有防护挡板，通过设置防护挡板，在不需要观看显示屏时，可以使用防护挡板将显示屏遮挡起来，进而可以对显示屏进行保护，最终降低显示屏损坏的几率。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,JIANG HAIBO,JIANG HAIBO,,,,,,,,,,,,G01F15/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TANG FENGFAN,TANG FENGFAN,,,,,,,,,,,,G01F15/06,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WANG ZHIXIAO,WANG ZHIXIAO,,,,,,,,,,,,G01F1/58,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218180851-U,CN-202221967978-U,CN,U,U,CN 202221967978,,84616048,CN218180851U,CN202221967978,Long-term effect simulation experiment device of engineering barrier and surrounding rock of adjustable crack form,en,FALSE,"The utility model discloses an engineering barrier and surrounding rock long-term action simulation experiment device capable of adjusting crack forms, wherein a reaction cavity is arranged in an environment simulation cabin, permeable stones are arranged at the bottom of the reaction cavity, a gas filtering plug is pressed at the top of the reaction cavity through a top cover, a water inlet channel connected with the bottom surface of the permeable stones is arranged at the bottom of the environment simulation cabin, and the water inlet channel is connected with a water supply system; a plurality of detection points are distributed on the outer side wall of the reaction cavity, and a heater is arranged on the outer side of the reaction cavity; a preset gap communicated with the reaction cavity is formed on the side wall of the environment simulation cabin; the crack simulation mechanism is in sealed butt joint with the preset gap, the crack simulation mechanism is provided with a groove bottom plate and a glass upper plate which are in up-and-down butt joint, and the groove bottom plate and the glass upper plate are in butt joint to form a simulation crack communicated with the lower part of the reaction cavity; the monitoring system comprises a sensor arranged on a detection point and a camera arranged above the upper glass plate, the sensor is electrically connected with the data recorder, and the data recorder and the camera are electrically connected with the computer.",en,FALSE,,,,,,,,,,,,,20221230,20220728,20221230,20220728,,CN-202221967978-U,,,,20220728,BIAN XIA,BIAN XIA,,河海大学,UNIV HOHAI,,,,,,,,,G01N33/24,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,可调节裂缝形态的工程屏障与围岩长期作用模拟实验装置,zh,FALSE,本实用新型公开了一种可调节裂缝形态的工程屏障与围岩长期作用模拟实验装置，环境模拟舱内部具有反应腔，反应腔底部具有透水石、顶部通过顶盖压紧有气体过滤塞，环境模拟舱底部具有与透水石底面连接的进水通道，进水通道连接有供水系统；反应腔外侧壁分布有多个检测点，反应腔外侧安装有加热器；环境模拟舱侧壁形成有与反应腔连通的预设缺口；裂缝模拟机构与预设缺口密封对接，裂缝模拟机构具有上下对接的凹槽底板和玻璃上板，凹槽底板和玻璃上板对接形成与反应腔下部连通的模拟裂缝；监控系统包括安装在检测点上的传感器，以及布置在玻璃上板上方的摄像机，传感器均与数据记录器电性连接，数据记录器和摄像机均与计算机电性连接。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,LIU KEYU,LIU KEYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LI XIAOZHAO,LI XIAOZHAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZHAO PENG,ZHAO PENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIU JIANGFENG,LIU JIANGFENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LI FUQING,LI FUQING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WANG BO,WANG BO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218181474-U,CN-202222550203-U,CN,U,U,CN 202222550203,,84625175,CN218181474U,CN202222550203,Server board card heat dissipation device and server board card,en,FALSE,"The disclosure relates to the field of heat dissipation of processors of servers, and provides a server board card heat dissipation device and a server board card; the server board card heat dissipation device comprises a thermoelectric conversion module, a fan and a heat dissipation component, and the server board card further comprises a processor, a circuit board and a bottom plate; one surface of the thermoelectric conversion module is used for being attached to the processor, the thermoelectric conversion module is electrically connected with the fan, and an air outlet of the fan is arranged opposite to the heat dissipation part; the thermoelectric conversion module is used for converting heat emitted by the processor into electric energy so as to drive the fan, so that wind flow generated by the work of the fan is blown to the heat dissipation part, and the heat dissipation of the heat dissipation part is accelerated; the heat dissipation component is arranged to dissipate heat which is not absorbed by the thermoelectric conversion module; thus realizing double heat dissipation effect, improving heat dissipation efficiency, realizing reutilization of heat energy, the heat released to the nature is reduced, and the method is green, energy-saving, low-carbon and environment-friendly.",en,FALSE,,,,,,,,,,,,,20221230,20220923,20221230,20220923,,CN-202222550203-U,,,,20220923,WANG LISHENG,WANG LISHENG,,上海闻泰电子科技有限公司,SHANGHAI WINGTECH ELECTRONICS TECHNOLOGY CO LTD,,,,,,,,,G06F1/20,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,服务器板卡散热装置及服务器板卡,zh,FALSE,本公开涉及服务器的处理器散热领域，提供一种服务器板卡散热装置及服务器板卡；服务器板卡散热装置包括热电转化模组、风扇和散热部件，服务器板卡还包括处理器、电路板和底板；热电转化模组的一面用于贴附在处理器上，热电转化模组与风扇电连接，风扇的出风口与散热部件相对设置；热电转化模组用于将处理器散发的热量转化为电能，以驱动风扇，使风扇工作产生的风流吹向散热部件，加速散热部件的散热；通过设置散热部件，对未被热电转化模组吸收的热量进行散热；这样就实现了双重散热的效果，提高了散热效率，还实现了热能的再利用，减少了释放到大自然的热量，绿色节能、低碳环保。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,MENG XIN,MENG XIN,,,,,,,,,,,,G06F1/18,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TANG YU,TANG YU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218183434-U,CN-202222464118-U,CN,U,U,CN 202222464118,,84622681,CN218183434U,CN202222464118,Video coding and decoding card and video coding and decoding device,en,FALSE,"The utility model provides a video coding and decoding card and video coding and decoding device, this video coding and decoding card includes the integrated circuit board, be provided with embedded CPU, first DDR memory, second DDR memory, EMMC Flash memory, power management chip and data bus interface on the integrated circuit board; the data bus interface is arranged at one end of the board card, the embedded CPU is arranged between the first DDR memory and the EMMC Flash memory, the second DDR memory is arranged between the embedded CPU and the data bus interface, and the power management chip is arranged at one end, far away from the embedded CPU, of the first DDR memory; because the utility model discloses with embedded CPU setting on the integrated circuit board, the rethread integrated circuit board links to each other with the host computer, and then can carry out video data coding and decoding in embedded CPU and handle, it is less to occupy host system resource, has promoted the treatment effeciency.",en,FALSE,,,,,,,,,,,,,20221230,20220916,20221230,20220916,,CN-202222464118-U,,,,20220916,WANG WEIWEI,WANG WEIWEI,,深圳市游联云科技有限公司,SHENZHEN YOULIANYUN TECH CO LTD,,,,,,,,,H04N19/423,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,视频编解码卡及视频编解码装置,zh,FALSE,本实用新型提出一种视频编解码卡及视频编解码装置，该视频编解码卡包括板卡，所述板卡上设置有嵌入式CPU、第一DDR内存、第二DDR内存、EMMC Flash闪存、电源管理芯片和数据总线接口；其中，所述数据总线接口设置于所述板卡的一端，所述嵌入式CPU设置于所述第一DDR内存与所述EMMC Flash闪存之间，所述第二DDR内存设置于所述嵌入式CPU与所述数据总线接口之间，所述电源管理芯片设置于所述第一DDR内存远离所述嵌入式CPU的一端；由于本实用新型将嵌入式CPU设置在板卡上，再通过板卡与主机进行相连，进而可在嵌入式CPU内进行视频数据编解码处理，占用主机系统资源较少，提升了处理效率。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,TANG FANG,TANG FANG,,,,,,,,,,,,H04N19/44,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZHANG QUAN,ZHANG QUAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yin Qianhe,Yin Qianhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218185885-U,CN-202222062133-U,CN,U,U,CN 202222062133,,84652939,CN218185885U,CN202222062133,Table with safe,en,FALSE,"The utility model relates to the technical field of furniture, concretely relates to is a desk with safe deposit box, including desk main part and safe deposit box, the inside of desk main part is provided with the storage chamber that is used for holding the safe deposit box, the safe deposit box is sliding connection with the storage chamber, the opening part of storing the chamber articulates through the hinge has the stealthy door that is used for sealing the storage chamber, the inboard of storing the chamber is provided with the push type rebounding ware, stealthy door is provided with the magnetism suction disc with the corresponding position department of push type rebounding ware, the magnetism suction disc uses with the cooperation of push type rebounding ware and is used for adsorbing fixed stealthy door, be provided with the code disc on the cabinet door of safe deposit box, the below that lies in the code disc on the cabinet door of safe deposit box is compared by going to the desk that is provided with key hole and second handle respectively in the back, with a current desk with safe deposit box, the utility model discloses a design improvement a desk with safe deposit box is holistic practicality, convenience and secret nature.",en,FALSE,,,,,,,,,,,,,20230103,20220808,20230103,20220808,,CN-202222062133-U,,,,20220808,YANG XIAOCHENG,YANG XIAOCHENG,,佛山市南海泰铃金属制品有限公司,FOSHAN NANHAI TAILING METAL PRODUCTS CO LTD,,,,,,,,,A47B83/04,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,一种带有保险柜的桌子,zh,FALSE,本实用新型涉及家具技术领域，具体涉及为一种带有保险柜的桌子，包括桌子主体和保险柜，所述桌子主体的内部设置有用于容纳保险柜的储存腔，所述保险柜与储存腔为滑动连接，所述储存腔的开口处通过合页铰接有用于封闭储存腔的隐形门，所述储存腔的内侧设置有按压式反弹器，所述隐形门与按压式反弹器相对应的位置处设置有磁吸片，所述磁吸片与按压式反弹器配合使用用于吸附固定隐形门，所述保险柜的柜门上设置有密码盘，所述保险柜的柜门上位于密码盘的下方由前往后分别设置有钥匙孔和第二把手，与现有的一种带有保险柜的桌子相比较，本实用新型通过设计提高一种带有保险柜的桌子整体的实用性、便捷性和隐秘性。,zh,FALSE,,,,,,,,,,,,,,,,,,,,,,,YANG SHUHUAN,YANG SHUHUAN,,,,,,,,,,,,A47B13/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YANG AOCHENG,YANG AOCHENG,,,,,,,,,,,,E05G1/00,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN-218186162-U,CN-202222659324-U,CN,U,U,CN 202222659324,,84639373,CN218186162U,CN202222659324,Rotatable double-layer metal fruit tray,en,FALSE,"The utility model discloses a rotatable formula&#39;s double-deck metal fruit bowl, the on-line screen storage device comprises a base, base top fixedly connected with electric putter, electric putter top fixedly connected with holds in the palm the pad, hold in the palm pad top fixedly connected with bracing piece, bracing piece external diameter sliding connection has the slip pipe, the slip pipe external diameter rotates and is connected with the rotary drum, the big fruit bowl of rotary drum external diameter fixedly connected with, bracing piece external diameter sliding connection has the sleeve pipe, the sleeve pipe external diameter rotates and is connected with the rotating tube, it is three to rotate pipe external diameter fixedly connected with evenly distributed&#39;s die-pin, it is three the pad is inhaled to the equal fixedly connected with magnetism in die-pin top. The utility model discloses in, at first can place three little fruit bowls at most through using the die-pin and be used for separately placing different fruits, magnetism is inhaled the pad and is inhaled the little fruit bowl of metal on it, conveniently takes, changes little fruit bowl, also makes things convenient for the guest to take when the whole height that makes the fruit bowl place on the desktop of co-altitude through electric putter adjustment fruit bowl.",en,FALSE,,,,,,,,,,,,,20230103,20221010,20230103,20221010,,CN-202222659324-U,,,,20221010,CHEN KAIGUO,CHEN KAIGUO,,泉州市欧乐日用品有限公司,QUANZHOU OULE DAILY NECESSITIES CO LTD,,,,,,,,,A47G19/08,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
